number,value,datetime_start,datetime_complete,duration,params_ema_span,params_gamma,params_imbalance_skew_factor,params_inventory_skew_factor,params_k,params_max_drawdown_pct,params_max_inventory_lots,params_range_spread_multiplier,params_tau,params_trend_size_multiplier,params_trend_spread_multiplier,state
51,-0.207658792827089,2026-07-19 20:27:33.328748,2026-07-19 20:27:33.638387,0 days 00:00:00.309639,24,0.38126702304627935,0.6565223825339854,2.237861137484757,4.269249636344454,0.04055391091867844,2,1.1476184761091113,1.0321842414090134,0.5998422027238856,2.72496012271356,PRUNED
52,-0.30871737531075005,2026-07-19 20:27:33.639248,2026-07-19 20:27:33.961031,0 days 00:00:00.321783,26,0.20147436385744438,0.6674246014032026,2.3122550397690174,4.36506247522561,0.052433686340895534,2,1.1035471616814807,1.0943840106834624,0.5914674996859837,1.4862777396900717,PRUNED
53,0.08916786270012096,2026-07-19 20:27:33.961643,2026-07-19 20:27:34.395628,0 days 00:00:00.433985,20,0.28337665236382403,0.4673238459144018,2.399173929512761,4.812901666580273,0.041680094019037765,2,1.17283577678034,0.9149361179992411,0.5486736864405201,2.7172698552837766,PRUNED
54,-0.4634428033059119,2026-07-19 20:27:34.396215,2026-07-19 20:27:34.830106,0 days 00:00:00.433891,25,0.6726227050595398,0.8159194536578606,2.7188712912489916,3.4443434397458605,0.030157356256500636,2,1.1318016723823943,1.753386539976814,0.48817843696508884,2.530628287660044,PRUNED
55,-0.3624992995589258,2026-07-19 20:27:34.830685,2026-07-19 20:27:35.174434,0 days 00:00:00.343749,40,0.49866957121259875,1.987125737320473,2.2758022897571686,4.168881516604225,0.04748825480062277,2,0.8178457299656342,1.193886349550009,0.5108386454653898,2.36093742190228,PRUNED
56,-0.3558489937635787,2026-07-19 20:27:35.175129,2026-07-19 20:27:35.493611,0 days 00:00:00.318482,21,0.36607361968936114,0.6708470934326115,1.2193346559848082,3.85842931417442,0.05954285830286524,1,1.0676027771058534,1.4160471294351658,0.580095948538573,2.6734732804511054,PRUNED
57,-0.32999542626395406,2026-07-19 20:27:35.494402,2026-07-19 20:27:35.799817,0 days 00:00:00.305415,29,0.17519969205470562,0.9207254453391024,1.4932762007331135,4.539347398479606,0.03794498530516179,1,0.5133730245332169,1.9034097332132673,0.382088676770462,2.848098870365291,PRUNED
58,-0.40924143647445543,2026-07-19 20:27:35.800483,2026-07-19 20:27:36.117775,0 days 00:00:00.317292,10,0.7779931009194473,1.04796557720304,2.093148749030651,3.6752685662379347,0.06270491583443066,2,0.6996465270503822,1.0002911975276318,0.7130217376584433,2.10241250618088,PRUNED
59,-0.0650576243628719,2026-07-19 20:27:36.118701,2026-07-19 20:27:36.669826,0 days 00:00:00.551125,33,0.434431262218552,0.3638322241207403,2.520347240792299,4.759158336331463,0.07830887749638421,1,1.0234604331629693,1.5610244312102206,0.6445375725080348,2.9574567151024955,PRUNED
60,-0.3039572813867887,2026-07-19 20:27:36.670625,2026-07-19 20:27:36.982364,0 days 00:00:00.311739,48,0.09426230250802835,0.4723070616618974,1.6273281089421365,3.991375631436741,0.04300566441870071,3,0.5503278945885164,1.1159960772917594,0.41780789358348747,2.7705934118591875,PRUNED
